סמל מוסד,שם מוסד,רשות חינוך,מחוז תקשוב,מגזר,מפקח,פיקוח,פוטנציאל תלמידים,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
118208,סלואן מכין לבנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,72,15,21%,10,14%,8,11%
168021,צור באהר בנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,40,0,0%,0,0%,0,0%
118240,צור באהר מכין,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,96,95,99%,94,98%,94,98%
338533,שדא אלוורד,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,16,0,0%,0,0%,0,0%
641464,אבדאע לאומניות.,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,68,68,100%,19,28%,8,12%
117002,אל-מוטראן,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,60,0,0%,0,0%,0,0%
678433,"ב""ס אלחסאד",ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,104,0,0%,0,0%,0,0%
746735,"בי""ס אלמטאר",ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,92,0,0%,0,0%,0,0%
368084,"בי""ס ע""י אלאספניול",ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,19,1,5%,1,5%,1,5%
117010,"ביה""ס אל-פריר",ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,34,0,0%,0,0%,0,0%
187575,ביס שמידט קולג' בנות,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,36,0,0%,0,0%,0,0%
757583,בית ספר סמירא מיס,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,74,0,0%,0,0%,0,0%
747402,דאוחת אלאבדאע,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,206,0,0%,0,0%,0,0%
148189,טרה סנטה גבשה בנים,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,42,0,0%,0,0%,0,0%
178194,על יסודי אלחית כפר עקב,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,83,81,98%,0,0%,0,0%
343970,על יסודי מאר מטרי,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,14,0,0%,0,0%,0,0%
676619,רוואד הטכנולוגי,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,115,0,0%,0,0%,0,0%
148056,תיכון בית צפאפא,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,190,120,63%,62,33%,59,31%
247411,תיכון סנט טרקמנצ'ץ,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,8,0,0%,0,0%,0,0%
118364,איברהמיה,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,ממלכתי,106,0,0%,0,0%,0,0%
634857,אלפא,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,ממלכתי,47,0,0%,0,0%,0,0%
