סמל מוסד,שם מוסד,רשות חינוך,מחוז תקשוב,מגזר,מפקח,פיקוח,פוטנציאל תלמידים,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
179754,כפר עקב חדש,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,85,85,100%,85,100%,85,100%
118331,מולויה לבנות,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,47,47,100%,47,100%,47,100%
118307,עמריה,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,47,30,64%,29,62%,29,62%
148254,שועפט בנות ב',ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,114,33,29%,33,29%,33,29%
118281,שעפט לבנות א,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ממלכתי,104,28,27%,22,21%,22,21%
338483,אבו חאמד אלגזאלי,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,31,0,0%,0,0%,0,0%
118042,אום טובא,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,99,21,21%,15,15%,14,14%
511550,אום טובה לבנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,97,61,63%,62,64%,62,64%
118067,אחמד סאמח אלחלדי,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,60,40,67%,40,67%,40,67%
118299,אלתורי לבנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,101,54,53%,48,48%,46,46%
267955,"ביה""ס אמליסון",ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,22,0,0%,0,0%,0,0%
478909,בית ספר יסודי נור אל,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,20,0,0%,0,0%,0,0%
430439,בית ספר רואא,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,42,0,0%,0,0%,0,0%
743369,טרה סנטה בית חנינא,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,16,16,100%,15,94%,15,94%
238501,יסודי אלאימאן בנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,58,0,0%,0,0%,0,0%
758227,יסודי אלאימאן בנים,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,81,0,0%,0,0%,0,0%
238493,יסודי אלאימאן לבנים,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,20,0,0%,0,0%,0,0%
118208,סלואן מכין לבנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,72,30,42%,17,24%,12,17%
168021,צור באהר בנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,40,0,0%,0,0%,0,0%
118240,צור באהר מכין,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,96,92,96%,89,93%,89,93%
338533,שדא אלוורד,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ממלכתי,16,0,0%,0,0%,0,0%
641464,אבדאע לאומניות.,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,68,63,93%,60,88%,59,87%
117002,אל-מוטראן,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,60,0,0%,0,0%,0,0%
678433,"ב""ס אלחסאד",ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,104,0,0%,0,0%,0,0%
746735,"בי""ס אלמטאר",ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,92,0,0%,0,0%,0,0%
368084,"בי""ס ע""י אלאספניול",ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,19,1,5%,1,5%,1,5%
117010,"ביה""ס אל-פריר",ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,34,0,0%,0,0%,0,0%
187575,ביס שמידט קולג' בנות,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,36,0,0%,0,0%,0,0%
757583,בית ספר סמירא מיס,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,74,0,0%,0,0%,0,0%
747402,דאוחת אלאבדאע,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,206,0,0%,0,0%,0,0%
148189,טרה סנטה גבשה בנים,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,42,0,0%,0,0%,0,0%
178194,על יסודי אלחית כפר עקב,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,83,0,0%,0,0%,0,0%
343970,על יסודי מאר מטרי,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,14,0,0%,0,0%,0,0%
676619,רוואד הטכנולוגי,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,115,0,0%,0,0%,0,0%
148056,תיכון בית צפאפא,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,190,145,76%,85,45%,80,42%
247411,תיכון סנט טרקמנצ'ץ,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ממלכתי,8,0,0%,0,0%,0,0%
118364,איברהמיה,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,ממלכתי,106,0,0%,0,0%,0,0%
634857,אלפא,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,ממלכתי,47,41,87%,40,85%,40,85%
617019,אשבאל אלקודס,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,ממלכתי,49,43,88%,43,88%,43,88%
746313,בית ספר עהדונא,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,ממלכתי,22,0,0%,0,0%,0,0%
118133,טור מכין לבנות,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,ממלכתי,90,90,100%,90,100%,90,100%
118125,טור מכין לבנים,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,ממלכתי,43,0,0%,0,0%,0,0%
338343,יסודי דאר אלאולאד,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,ממלכתי,22,0,0%,0,0%,0,0%
160473,אלוואדי למצוינות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,83,78,94%,77,93%,75,90%
267930,אלמוסתקבל אלאהלייה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ממלכתי,29,0,0%,0,0%,0,0%
