סמל מוסד,שם מוסד,רשות חינוך,מחוז תקשוב,מגזר,מפקח,פיקוח,פוטנציאל תלמידים,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
442780,"אמי""ת בנות מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,ממלכתי דתי,135,119,88%,89,66%,88,65%
450270,"אמי""ת בנים מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,ממלכתי דתי,117,113,97%,73,62%,68,58%
165852,"ישיבת בנ""ע לפיד מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,ממלכתי דתי,198,153,77%,72,36%,69,35%
143404,אהל שילה בנים,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,ממלכתי דתי,61,0,0%,0,0%,0,0%
512459,הניסויי כפר אדומים,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,ממלכתי דתי,106,73,69%,72,68%,71,67%
113787,כוכב יעקב בנות,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,ממלכתי דתי,23,0,0%,0,0%,0,0%
112516,מבוא חורון,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,ממלכתי דתי,22,1,5%,1,5%,1,5%
611871,מבוא חורון בנות,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,ממלכתי דתי,40,11,28%,4,10%,2,5%
112151,מצפה יריחו,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,ממלכתי דתי,21,0,0%,0,0%,0,0%
140970,אולפנא עופרה,מטה בנימין,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,136,116,85%,105,77%,104,76%
641480,"אולפנת בנ""ע שילה",מטה בנימין,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,112,96,86%,82,73%,81,72%
641498,"ישיבה תיכונית בנ""ע עלי",מטה בנימין,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,65,65,100%,54,83%,54,83%
140939,"ישיבת בנ""ע מטה בנימין",מטה בנימין,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,83,1,1%,0,0%,0,0%
681288,תיכון לביא,מטה בנימין,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,46,46,100%,10,22%,4,9%
673822,"התיכון הנכו""ן",מטה בנימין,ירושלים,יהודי,ציפי יעקב,ממלכתי,134,133,99%,126,94%,125,93%
186908,אולפנא בני עקיבא נריה,מטה בנימין,ירושלים,יהודי,תמר אודס,ממלכתי דתי,111,99,89%,96,86%,94,85%
144766,"ישיבת בנ""ע נר תמיד חשמונאים",מטה בנימין,ירושלים,יהודי,תמר אודס,ממלכתי דתי,102,87,85%,19,19%,15,15%
722298,בית ספר יחיאל,מטה יהודה,ירושלים,יהודי,ליאת אלהרר כהן,ממלכתי,19,0,0%,0,0%,0,0%
238121,אולפנת נוגה,מטה יהודה,ירושלים,יהודי,תמר אודס,ממלכתי דתי,131,31,24%,24,18%,24,18%
442822,ברנקו וייס עין נקובה,מטה יהודה,ירושלים,ערבי,ציפי יעקב,ממלכתי,84,84,100%,45,54%,38,45%
141176,אולפנת צביה מ. אדומים,מעלה אדומים,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,74,61,82%,54,73%,52,70%
160549,"אמי""ת איתן",מעלה אדומים,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,85,68,80%,33,39%,30,35%
144428,ישיבת צביה מ.אדומים,מעלה אדומים,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,66,30,45%,14,21%,14,21%
338616,"שש שנתי אמי""ת בנות",מעלה אדומים,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,77,68,88%,52,68%,50,65%
140863,עמל דקל וילנאי,מעלה אדומים,ירושלים,יהודי,ציפי יעקב,ממלכתי,178,165,93%,160,90%,158,89%
170803,עמל תעופה וחלל,מעלה אדומים,ירושלים,יהודי,ציפי יעקב,ממלכתי,184,172,93%,158,86%,149,81%
420018,על יסודי צור הדסה,צור הדסה,ירושלים,יהודי,ציפי יעקב,ממלכתי,135,65,48%,0,0%,0,0%
111450,"גוונים מ""מ",קרית ארבע,ירושלים,יהודי,דורית מרגלית רזיאל אלישר,ממלכתי,11,9,82%,9,82%,9,82%
140665,אולפנא לבנות,קרית ארבע,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,77,62,81%,62,81%,61,79%
140889,"חט""ב בנים קרית ארבע",קרית ארבע,ירושלים,יהודי,יעקב עמר,ממלכתי דתי,72,59,82%,52,72%,52,72%
